Name der Messeinstellungsdaten;Messzeit;Losnummer;laufenden Zähler;OK/N.i.O.;Verantwortliche/r;Nummer;Dim01;Dim02;Dim04;Dim05;Dim06 - 1;Dim06 - 2;Dim06 - 3;Dim06 - 4;Dim07 - 1;Dim07 - 2;Dim07 - 3;Dim07 - 4;Dim14;Dim16;Dim17;Dim18;Dim19;Dim20;Dim03 - long;Dim03 - short;Dim03 - corner
Sollwert;;;;;;;15.4;8.4;14.6;7.6;2.4;2.4;2.4;2.4;2;2;2;2;0;0;0;0;0;0;5.6;5.6;5.6
Obergrenze;;;;;;;0.04;0.04;0.04;0.04;0.1;0.1;0.1;0.1;0;0;0;0;0.04;0.04;0.04;0.04;0.04;0.04;0.02;0.02;0.02
Untergrenze;;;;;;;-0.04;-0.04;-0.04;-0.04;-0.1;-0.1;-0.1;-0.1;-0.15;-0.15;-0.15;-0.15;0;0;0;0;0;0;-0.02;-0.02;-0.02
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;1;N.i.O.;fknar;1;15.3505;8.3989;14.6014;7.6195;2.3641;2.3754;2.3874;2.3961;1.8634;1.8919;1.8915;1.8823;0.0337;0.0166;0.0404;0.0137;0.0259;0.0185;5.5984;5.5942;5.5912
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;2;N.i.O.;fknar;1;15.3501;8.3974;14.6021;7.6203;2.374;2.3878;2.3614;2.3701;1.8683;1.8969;1.8872;1.8687;0.0398;0.0221;0.0192;0.0141;0.0292;0.0139;5.597;5.5935;5.5931
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;3;OK;fknar;1;15.3835;8.3855;14.6101;7.611;2.3536;2.3625;2.3438;2.3463;1.8634;1.887;1.8796;1.8798;0.0108;0.0149;0.0219;0.0148;0.0219;0.0232;5.6023;5.6054;5.6028
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;4;N.i.O.;fknar;1;15.3461;8.4058;14.6037;7.6253;2.3616;2.3723;2.385;2.3884;1.8668;1.8824;1.8901;1.8807;0.0334;0.0205;0.0398;0.0283;0.0283;0.0209;5.6029;5.6006;5.5997
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;5;N.i.O.;fknar;1;15.3529;8.3974;14.5996;7.6163;2.3205;2.3516;2.3469;2.3339;1.8522;1.885;1.842;1.8658;0.0286;0.0077;0.0176;0.0113;0.0181;0.0168;5.5888;5.5871;5.5919
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;6;OK;fknar;1;15.3639;8.394;14.6074;7.6152;2.3332;2.355;2.327;2.3422;1.8691;1.881;1.8576;1.8744;0.0216;0.0108;0.0151;0.0097;0.0253;0.0165;5.605;5.5991;5.5997
MyProject_MyComponent_MyDrawingNumber_KEY02;19.01.2024 12:03;SSIV2023-QC0255;7;N.i.O.;fknar;1;15.3445;8.3994;14.5967;7.6111;2.3721;2.34;2.3202;2.3736;1.8582;1.8617;1.8686;1.8614;0.041;0.0271;0.0379;0.0121;0.0222;0.0255;5.6;5.6006;5.5994
